RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
395053,50,"Salt Lake City, UT",Msa,UT,412258.0,415525.0,427305.0,427956.0,437538.0,445296.0,449688.0,449688.0,449795.0,441908.0,433731.0,427305.0,427305.0,427305.0,428162.0,438550.0,449688.0,465752.0,471107.0,470678.0,460397.0,455150.0,455042.0,455042.0,456756.0,465859.0,476033.0,492525.0,492525.0,471107.0,481816.0,500156.0,503342.0,497987.0,497880.0,494528.0,513622.0,534399.0,"","","","","","",""
395031,51,"Rochester, NY",Msa,NY,182822.0,182822.0,188310.0,204343.0,213597.0,224358.0,231245.0,225864.0,214135.0,209723.0,204343.0,199070.0,195735.0,204343.0,215104.0,231341.0,242113.0,253939.0,250183.0,250183.0,247385.0,236625.0,225434.0,215104.0,212521.0,204343.0,215211.0,242005.0,253185.0,268907.0,268907.0,268907.0,271059.0,267938.0,247385.0,247385.0,247385.0,268352.0,271200.0,289900.0,288125.0,279900.0,269900.0,255000.0,249900.0
394640,52,"Grand Rapids, MI",Msa,MI,255000.0,259900.0,270850.0,280500.0,295000.0,300000.0,299900.0,300000.0,295000.0,285500.0,284900.0,285548.0,289900.0,289900.0,289900.0,299000.0,309000.0,315000.0,314900.0,309900.0,305900.0,299900.0,298500.0,289900.0,289900.0,289900.0,299000.0,304900.0,314900.0,319900.0,319900.0,319900.0,324000.0,320000.0,319900.0,310800.0,319800.0,322500.0,328275.0,339900.0,343575.0,348358.0,355000.0,359000.0,359900.0
395167,53,"Tucson, AZ",Msa,AZ,259900.0,259900.0,263000.0,270000.0,275000.0,279990.0,285000.0,279000.0,279900.0,283800.0,285000.0,279900.0,279000.0,279500.0,280000.0,287500.0,297000.0,299500.0,299900.0,295000.0,293550.0,290000.0,294900.0,294000.0,293000.0,289900.0,295000.0,299900.0,300000.0,296900.0,304899.0,325000.0,329900.0,335000.0,319975.0,315000.0,325000.0,325000.0,332990.0,350000.0,365000.0,379900.0,385000.0,389000.0,379900.0
753924,54,"Urban Honolulu, HI",Msa,HI,655000.0,665000.0,669000.0,650000.0,645000.0,650000.0,659000.0,665000.0,665000.0,675000.0,674000.0,659000.0,660000.0,660000.0,679000.0,665000.0,670000.0,668000.0,669000.0,672000.0,668000.0,665000.0,650000.0,650000.0,649000.0,649000.0,635900.0,635000.0,625000.0,610000.0,599000.0,610000.0,618000.0,600000.0,585000.0,589900.0,599000.0,609500.0,"","","","","","",""
395169,55,"Tulsa, OK",Msa,OK,193140.0,192202.0,192296.0,196986.0,204490.0,208242.0,206366.0,206366.0,206366.0,206272.0,205896.0,206272.0,206272.0,205897.0,206366.0,214808.0,224189.0,229817.0,234507.0,233569.0,234413.0,232162.0,235678.0,239103.0,239197.0,239197.0,234413.0,239197.0,248577.0,253174.0,262648.0,276624.0,277562.0,276718.0,276718.0,279900.0,276090.0,275000.0,275000.0,275000.0,315000.0,315000.0,309900.0,289000.0,280000.0
394619,56,"Fresno, CA",Msa,CA,334419.0,334561.0,331434.0,328346.0,334522.0,339566.0,339669.0,344712.0,339669.0,334522.0,334419.0,334280.0,328346.0,324229.0,321141.0,324229.0,330405.0,344815.0,357682.0,360255.0,369518.0,360152.0,359225.0,354594.0,347224.0,349962.0,353966.0,355108.0,365401.0,360244.0,372359.0,385987.0,391134.0,391134.0,391031.0,388344.0,391134.0,385987.0,387500.0,387900.0,395900.0,419900.0,430000.0,425000.0,419000.0
395238,57,"Worcester, MA",Msa,MA,280961.0,277139.0,281917.0,286695.0,296156.0,310491.0,319187.0,315365.0,319187.0,314409.0,310491.0,305713.0,304853.0,299979.0,300934.0,310586.0,324826.0,339160.0,343939.0,348812.0,342123.0,334382.0,333522.0,332566.0,329699.0,328648.0,329699.0,334478.0,358273.0,363052.0,370315.0,382260.0,382165.0,381305.0,381305.0,385000.0,389900.0,399900.0,"","","","","","",""
394415,58,"Stamford, CT",Msa,CT,662426.0,659262.0,704619.0,768963.0,786790.0,775292.0,786368.0,775292.0,738372.0,737319.0,737319.0,737319.0,726770.0,727720.0,727720.0,738268.0,764744.0,768963.0,759470.0,737319.0,717171.0,688269.0,688269.0,701455.0,701455.0,696178.0,710948.0,733099.0,737319.0,733099.0,759417.0,790059.0,790059.0,779511.0,764744.0,758415.0,737319.0,747329.0,749900.0,849000.0,839000.0,799000.0,819500.0,789900.0,729000.0
394312,59,"Albuquerque, NM",Msa,NM,239432.0,237477.0,239530.0,244321.0,251751.0,259084.0,262994.0,261039.0,254098.0,249307.0,244419.0,249209.0,249307.0,248818.0,249307.0,258986.0,263962.0,268860.0,270816.0,273260.0,273651.0,273651.0,272884.0,273651.0,272771.0,268860.0,278539.0,292325.0,293302.0,293302.0,312856.0,332409.0,337337.0,337337.0,334365.0,337902.0,334831.0,336879.0,340000.0,342130.0,359000.0,360000.0,369990.0,369900.0,369500.0
